,NDB1,NDB2,NDB3,NDB4,DCB1,DCB2,DCB3,DCB4,DCB5
PPP3CA,2181,2344,1842,2692,2948,1516,1877,3418,1391
PPP3CB,1744,3007,2454,3069,2697,1440,1710,4070,879
PPP3CC,1092,1893,1473,1907,2857,1015,2766,4868,2136
LIF,83,204,116,896,181,61,50,0,79
RPL12,17666,34808,17314,11130,27530,11366,18233,17170,10023
TTC21B-AS1,0,0,0,0,0,0,0,0,0
RPL13,5047,3757,4634,2040,6056,2980,4110,4254,2467
NPY6R,58,54,102,23,155,27,0,236,108
RPL18,18620,26260,8636,9818,17146,11288,15359,14686,9998
ADRA2A,3,65,225,658,36,56,631,80,18
ADRA2B,0,50,53,36,52,15,0,0,0
RPL19,29286,57390,28086,26777,51332,24681,46183,39398,15782
TEX26,0,0,0,0,0,0,0,0,0
TEX22,0,29,19,0,43,29,42,0,40
TEX28,0,0,35,0,0,0,0,0,0
TEX29,0,15,0,0,0,0,11,0,17
SYT8,970,196,0,2032,61,187,17,1268,112
SYT9,0,8,0,0,0,0,0,0,0
LINC01251,0,0,0,0,0,0,0,0,0
LINC01250,0,0,0,0,0,0,0,0,0
LINC01257,0,0,0,0,0,0,0,0,0
MTCH2,2859,5846,2619,2446,4663,3276,3376,9034,2682
MTCH1,4571,4826,2984,2835,3491,3895,5378,7850,2812
LINC01254,0,0,0,0,0,0,0,0,0
SYT1,82,26,3,0,0,0,0,22,0
SYT2,0,50,56,9,55,15,87,0,218
SYT3,0,0,0,0,0,0,3,0,0
SYT4,0,0,0,0,0,0,0,0,0
SYT5,0,0,0,0,0,0,7,0,0
SYT6,0,9,0,0,11,14,0,0,0
SYT7,384,1044,481,80,231,3147,1990,0,761
TIAL1,3150,6213,4355,5215,4957,3254,4191,8932,2945
FUBP3,1937,2930,1638,2274,3118,2596,2681,3436,3239
FUBP1,4277,7839,5626,5989,12514,6382,5746,13506,4740
SCHIP1,433,165,317,578,919,982,456,300,494
CTBP1-AS2,337,205,172,301,188,145,204,524,125
MARCO,13,255,440,0,4,17,12,34,18
SAP30,153,372,112,107,607,457,217,736,182
NBL1,861,1012,949,1430,448,388,1596,1080,827
C3orf67-AS1,0,0,0,0,0,0,0,0,0
HSFX2,329,308,310,471,354,349,136,596,1279
HSFX1,0,0,0,0,0,316,136,0,659
DRC1,0,3,0,767,0,0,0,0,0
C1orf53,0,36,0,0,83,0,27,56,54
C1orf52,333,529,326,387,883,1130,701,1404,693
C1orf50,170,250,123,130,322,166,312,292,106
C1orf56,98,63,91,118,93,96,167,166,329
C1orf54,116,271,258,282,559,240,177,526,494
1.Mar,853,442,614,1526,1690,477,1085,1518,1333
2.Mar,141,475,254,442,447,136,475,282,372
APCDD1L-AS1,0,0,0,0,0,0,0,0,0
MIR181A1HG,0,0,0,0,0,0,0,0,0
SMPD4,4723,3387,2421,3073,3797,3710,3117,4912,1818
SMPD1,278,346,692,840,585,1094,814,278,498
SMPD3,0,19,22,850,71,144,156,160,48
SMPD2,543,715,293,1104,502,1098,529,516,568
BRIP1,2030,5407,9085,2757,14265,5084,4586,13582,11059
PDE11A,0,8,91,500,0,0,102,0,0
LOC102477328,0,0,0,0,0,0,0,0,0
TTC28,1208,1573,1878,2579,2244,1595,2176,2978,1376
TTC29,0,0,0,0,0,0,0,0,0
TTC24,0,6,0,0,78,6,0,110,16
TTC25,0,23,31,155,25,26,0,0,0
TTC26,321,131,253,561,397,411,357,206,438
TTC27,1728,1689,2027,2512,2984,1640,1931,5288,1976
PATL2,54,105,69,221,348,120,112,472,324
TTC22,135,575,222,381,428,2665,1249,1310,557
TTC23,538,976,766,995,530,963,1085,1334,1039
ENO1,77859,117611,43692,37681,43196,112091,59446,127482,42796
NPY2R,0,0,0,0,0,0,0,0,0
ENO3,462,274,175,439,332,227,256,258,158
ENO4,6,7,0,5,0,0,0,0,0
OIP5-AS1,0,6,0,0,6,11,11,10,0
LOC728613,69,61,80,223,180,160,157,154,139
CBX3P2,0,0,0,0,0,0,0,0,0
CFD,99,530,150,138,294,225,723,332,430
OBSCN,27610,18329,10570,11342,14714,27922,41333,82778,28862
SRRD,528,333,459,349,487,452,587,742,628
MCL1,4660,7673,3571,4380,16483,5997,7978,11034,5770
SORBS1,117,1006,1347,1034,412,474,3160,550,57
SORBS3,1505,1009,925,1450,1042,896,3097,944,471
SORBS2,203,344,1479,3391,218,140,982,0,37
ODC1,2058,2459,1567,1997,6640,1865,977,2994,1494
IL18RAP,68,144,13,116,237,33,74,238,33
EOMES,38,117,102,157,206,82,12,794,87
BCDIN3D-AS1,0,0,0,0,0,0,0,0,0
MIR873,0,0,0,0,0,0,0,4,0
KCTD21-AS1,0,0,0,0,0,0,0,0,0
MIR877,7,15,1,5,21,3,23,30,8
MIR876,0,0,0,0,0,0,0,34,0
MIR875,0,5,5,0,2,0,4,34,4
MIR874,0,3,5,0,0,5,2,0,0
PDSS2,341,615,133,714,234,596,351,468,369
PDSS1,1713,2315,1451,1862,2750,926,1815,4504,1915
FKBP14,412,405,211,325,562,286,415,482,240
FKBP15,2605,8275,3471,4090,6182,4232,4528,7736,7589
UBE2J1,814,4025,1640,2199,1909,1454,1111,2354,735
UBE2J2,450,952,507,640,738,863,569,1706,503
FKBP11,547,1332,510,1798,940,282,569,992,482
FBXO10,175,329,194,252,229,237,248,190,180
FBXO11,2657,8483,5264,6052,10245,4294,4681,10032,8480
FBXO16,0,64,27,69,0,18,0,0,0
FBXO17,126,27,57,48,57,139,195,0,175
FBXO15,0,26,0,57,6,0,9,88,7
SFTA3,0,0,0,0,0,0,0,0,0
SFTA2,0,0,52,863,0,144,27,0,0
MIRLET7F1,46,21,38,5,34,15,30,76,16
SNORD48,71,70,44,64,124,53,101,90,51
SNORD43,7,13,14,12,47,7,9,36,17
KIAA2013,1676,1151,687,1337,735,1695,1296,2082,1419
CNGB3,0,91,14,0,24,0,22,30,25
SNORD47,64,202,99,56,312,23,66,300,64
SNORD46,23,31,8,3,22,15,16,40,23
SNORD44,185,365,203,145,508,79,132,580,156
PLA2G6,416,1022,1095,2047,2441,2423,1474,1950,1592
PLA2G7,188,1109,1473,706,2845,568,534,3178,510
PLA2G5,0,0,0,0,0,0,0,0,0
PLA2G3,0,67,29,0,406,103,33,0,0
GDPGP1,42,142,93,196,156,172,147,318,292
KRTAP1-1,0,9,0,0,0,0,0,0,0
KRTAP1-3,0,0,0,0,0,0,0,0,0
KRTAP1-4,0,0,0,0,0,0,0,0,0
KRTAP1-5,0,6,10,0,0,0,19,0,0
CCDC70,0,0,0,0,0,0,0,0,0
CCDC71,111,1083,582,717,471,1051,453,1170,316
LOC101928535,0,0,0,0,0,0,0,0,0
CCDC78,89,92,30,86,72,17,39,138,57
CCDC79,0,17,0,0,0,0,0,0,0
HIST3H2BB,517,1626,702,104,852,902,734,1238,563
SNORD4B,54,34,53,123,107,45,65,146,28
SNORD4A,99,85,37,100,103,59,65,74,48
